id,name,pagerank,repo_url,computed
10509,rdflib,12.539480620870131,https://github.com/RDFLib/rdflib,False
487701,grpcio,12.519001601182977,,False
140921,nose,12.377901845855153,https://github.com/nose-devs/nose,False
144424,ordereddict,12.207023230451268,,False
105902,itsdangerous,12.058613245812762,https://github.com/mitsuhiko/itsdangerous,False
161504,PyMySQL,11.900344479833802,https://github.com/PyMySQL/PyMySQL,False
105690,ipython,11.667915190040972,https://github.com/ipython/ipython,False
130398,marshmallow,11.531581115835587,https://github.com/marshmallow-code/marshmallow,False
28652,toml,11.480328737710696,https://github.com/uiri/toml,False
162965,pyOpenSSL,10.97104405782964,https://github.com/pyca/pyopenssl,False
29716,traitlets,10.817057899994852,,False
46602,wheel,10.610334652400262,https://github.com/pypa/wheel,False
134413,mock,10.353718674302032,https://github.com/testing-cabal/mock,False
34523,unittest2,10.096399545338926,,False
472958,public,10.051554275835445,https://github.com/looking-for-a-job/public.py,False
449754,ruamel.yaml,9.911743526742727,https://bitbucket.org/ruamel/yaml,False
34790,URLObject,9.861905398924318,https://github.com/zacharyvoase/urlobject,False
22708,boto,9.7010797703153,https://github.com/boto/boto,False
977882,more-itertools,9.439420324305846,https://github.com/erikrose/more-itertools,False
145631,paramiko,9.427234437019685,https://github.com/paramiko/paramiko,False
32107,Twisted,9.300817548563009,https://github.com/twisted/twisted,False
49830,wrapt,9.254919775224511,https://github.com/GrahamDumpleton/wrapt,False
144234,openpyxl,9.24807924338504,https://bitbucket.org/openpyxl/openpyxl,False
689537,docker,9.228308375972272,https://github.com/docker/docker-py,False
35399,Cython,9.19730104410836,https://github.com/cython/cython,False
147462,pika,9.106749057785423,,False
1699949,publication,9.062873438276128,https://github.com/glyph/publication,False
2078172,jsii,9.000735060399423,,False
1432196,msgpack,8.95891019569962,https://github.com/msgpack/msgpack-python,False
84746,flake8,8.838245941640611,https://gitlab.com/pycqa/flake8,False
97169,greenlet,8.799083888437453,https://github.com/python-greenlet/greenlet,False
15479,arrow,8.795486954584039,https://github.com/crsmithdev/arrow,False
9224,pyzmq,8.680736406343943,,False
