,hash,author,date,commit_message,is_merge,codebase_size,lines_changed,total_lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
275,ec0c58ccd50a191dbfe95810f96eb4cdb8d36b13,areski,2014-05-30 14:17:52+00:00,Update to version v0.12.2,False,4222,2,14044,1,1,,,
276,40a99758b1f47bfbd5ac90b3f02916577c1635dd,areski,2014-05-31 09:45:37+00:00,Add y_axis_format as a param in discreteBarChart - fix #54 from @gannetson,False,4224,2,14046,2,0,0.0,1.0,1.0
277,0c782e9f53293d7640241ef5258bad0a3347f203,areski,2014-05-31 10:29:57+00:00,add example of linechart with different X-Axis #17,False,4249,25,14071,25,0,,,
278,d864b4e717432896472b640b3dc256d6e70ade11,David Barajas,2014-06-09 20:54:56+00:00,Add axis labels to scatter charts,False,4248,5,14076,2,3,,,
279,4c7d35ad791f649d7413297eab8b2e1dab2197c8,David Barajas,2014-06-20 16:27:17+00:00,Allow to have custom formats in line charts,False,4250,6,14082,4,2,,,
280,3b82c50bde6adb6834513c94469c4098dfb161eb,oz123,2014-07-02 11:07:41+00:00,"Fix for issue #61

Improve LinePlusBarChart documentation",False,4251,3,14085,2,1,,,
281,f4285f76e08abf216edb920066a63c018ee7235e,areski,2014-07-02 21:46:22+00:00,bit of code refactoring,False,4256,45,14130,25,20,0.0,1.0,1.0
282,38f054da4bfb489cf0afdff2a029e282883c4e16,oz123,2014-07-03 12:12:56+00:00,"Fix for issue #61

Improve LinePlusBarChart documentation",False,4257,3,14133,2,1,,,
283,1fd6f683d829389ab7eac54041a175bde6a488aa,oz123,2014-07-04 07:07:59+00:00,Add chart extras to template and add documentation,False,4292,43,14176,39,4,0.6666666666666666,1.0,1.0
284,baca002f625391ee148228909918130eb4daf9d3,oz123,2014-07-04 08:11:52+00:00,"Allow easier customizing of the y-axis formats

This is especially useful if you have a line
and bar chart with two data series with extreme differences.
Such as:

    data_y1 = [10, 13, 14, 20]
    data_y2 = [0.0003, 0.0032, 0.0057, 0.0081]

In the above case one may one would like to format the first
y axis with:

        cart.y1Axis
                    .tickFormat(d3.format(',f'));

and the second y axis with:

        chart.y2Axis
                    .tickFormat(function(d) {
                     return d3.format(',0.4f')(d) });

This is now possible with passing a keyword ```yaxis2_format```
when creating a new ```linePlusBarChart`:

    chart = linePlusBarChart(name=""linePlusBarChart"",
                             width=500, height=400, x_axis_format=None,
                             yaxis2_format=""function(d) { return d3.format(',0.4f')(d) }"")",False,4309,21,14197,19,2,0.0,1.0,1.0
285,efd0f92719139a0511427bc4ccd2e77cc2aa9a51,oz123,2014-07-16 22:13:02+00:00,"Prepare the base for including js graphs

 * This huge commit addes the _page.html template
   with inclusion of the d3 and nvd3 static files
 * Remove some more references to pngs
 * Remove the pngs themselves from the tree
 * Remove all references to hard coded images
 * Add js css and page template",False,5148,993,15190,916,77,1.0,0.9393004115226338,0.9403292181069959
286,090ddcd9a91f436a8861eec58c1e46096925e585,oz123,2014-07-16 22:15:03+00:00,"Replace automodule instructions with autoclass

All the classes are available from nvd3 directly,
so it make sense to treat them as classes rather then module.
That said, the modules containing the classes, are pointed from
the module index!",False,5153,61,15251,33,28,,,
287,1a2813d19cc18e70f5cd7589bc9f05ec81fa53be,oz123,2014-07-16 22:36:13+00:00,all classes now include live js code,False,5105,1076,16327,514,562,,,
288,36d3774f4bed58eebfadccba8f03bba86a9a4ad1,areski,2014-07-17 10:45:51+00:00,fix images - clean of readme / introduction documentation,False,5102,89,16416,43,46,,,
289,3c651b86cdcceb7e378579ffc1e8977b927b3307,areski,2014-07-17 11:29:20+00:00,documentation - fix height / width of charts,False,5102,14,16430,7,7,,,
290,9ea0af323b5da01c3d4f8ac867dd76054e0a0001,areski,2014-07-17 11:48:48+00:00,fix chart height,False,5102,2,16432,1,1,,,
291,9a164ecfd867265afb9d92459b999ae7fc7bcb41,oz123,2014-07-18 20:03:41+00:00,"Update of NVD3Chart

Extend documentation, and make most class attribute instance
attributes.",False,5106,208,16640,106,102,0.0,0.9411764705882353,0.9411764705882353
292,92bf9fab345063548d3981d7f45912903ba21e4b,oz123,2014-07-18 20:10:40+00:00,"Add attributes related to pieChart

* These were removed earlier from NVD3Chart base class",False,5110,6,16646,5,1,1.0,1.0,1.0
293,f9ff8534d6c5a143444be2f523a0d0df26ef9d87,oz123,2014-07-18 20:11:26+00:00,pep8ify,False,5120,20,16666,15,5,,,
294,98abd84713adb41c0a5aeb1e0cf03c4a04432e82,oz123,2014-07-26 17:30:21+00:00,Fix a bug introduced earlier in scatterChart,False,5120,2,16668,1,1,,,
295,f1b11af67cf0fe1415416f597eb4a73ae9194b2e,oz123,2014-07-26 17:34:12+00:00,Line chart template now extends content,False,5123,7,16675,5,2,,,
296,8a663e2d78a8e937b0936411e30dfd8cb6e69ac3,oz123,2014-07-26 17:34:48+00:00,Discrete bar chart has it's own template now,False,5135,12,16687,12,0,1.0,1.0,1.0
