,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,40fe7038867fb30fd1a31ac3532016c2aa972975,teerapongchaemchamrat,2023-11-07 16:26:00+00:00,first commit,False,648,648,0,0.8571428571428571,1.0,0.7394957983193278,626,447,493,34,1.930232558139535,81.42061639593271,3.1666666666666665,3.3333333333333335,8.14870414815408,0.4722222222222222,7.224142689400072,0.4013412605222263,0.00271623471605136
1,a99a8e8576442497f3dc0e33e3fa992b6d5775df,teerapongchaemchamrat,2023-11-11 15:00:36+00:00,update,False,209,123,86,1.0,1.0,0.7894736842105263,663,488,524,43,1.78,86.69334927383396,2.1052631578947367,2.210526315789474,5.548000640014897,0.3157894736842105,5.047486166102953,0.28041589811683076,0.001849333546671632
2,2e45a008675771e464762c472358104d20ee87bf,jakkritscpe,2023-11-12 05:44:51+00:00,fix bug.,False,244,168,76,1.0,1.0,1.0,752,590,613,30,2.0476190476190474,79.76485288045288,3.3157894736842106,3.5789473684210527,9.93379372412913,0.5,10.985297841371107,0.6102943245206169,0.003311264574709709
